timeUTC,latitude,longitude,desc,speed,course,date
65540,-7.331027883,112.7813111,time: 13:55:40.22; speed: 24.4464; course: 184.6,24.45,184.6,211222
65541,-7.3310882,112.7813034,time: 13:55:41.23; speed: 25.1872; course: 186.3,25.19,186.3,211222
65542,-7.331147317,112.7812989,time: 13:55:42.23; speed: 26.2984; course: 189.2,26.3,189.2,211222
65543,-7.331213883,112.7812852,time: 13:55:43.22; speed: 26.854000000000003; course: 190.4,26.85,190.4,211222
65544,-7.3312784,112.7812703,time: 13:55:44.23; speed: 24.076; course: 190.3,24.08,190.3,211222
65545,-7.331330533,112.7812608,time: 13:55:45.23; speed: 17.9644; course: 187.2,17.96,187.2,211222
65546,-7.331369533,112.781251,time: 13:55:46.23; speed: 12.4084; course: 187.3,12.41,187.3,211222
65547,-7.33140405,112.7812505,time: 13:55:47.22; speed: 9.630400000000002; course: 181.7,9.63,181.7,211222
65548,-7.331419017,112.7812494,time: 13:55:48.22; speed: 4.63; course: 179.7,4.63,179.7,211222
65549,-7.331426767,112.7812463,time: 13:55:49.23; speed: 2.5928; course: 179.6,2.59,179.6,211222
65550,-7.331434717,112.7812466,time: 13:55:50.23; speed: 2.9632000000000005; course: 179.5,2.96,179.5,211222
65551,-7.331438167,112.781245,time: 13:55:51.23; speed: 2.0372000000000003; course: 179.5,2.04,179.5,211222
65552,-7.331438767,112.781247,time: 13:55:52.23; speed: 0.926; course: 179.5,0.93,179.5,211222
65553,-7.331428667,112.7812427,time: 13:55:53.23; speed: 0.0; course: 179.5,0,179.5,211222
65554,-7.3314271,112.7812434,time: 13:55:54.24; speed: 0.0; course: 179.5,0,179.5,211222
65555,-7.331425483,112.7812433,time: 13:55:55.23; speed: 0.0; course: 179.5,0,179.5,211222
65556,-7.331425533,112.7812439,time: 13:55:56.23; speed: 0.0; course: 179.5,0,179.5,211222
65557,-7.331423817,112.7812435,time: 13:55:57.23; speed: 0.0; course: 179.5,0,179.5,211222
65558,-7.331422067,112.7812444,time: 13:55:58.23; speed: 0.0; course: 179.5,0,179.5,211222
65559,-7.3314216,112.7812448,time: 13:55:59.23; speed: 0.0; course: 179.5,0,179.5,211222
65600,-7.331420517,112.7812448,time: 13:56:00.23; speed: 0.0; course: 179.5,0,179.5,211222
